codigos;productos;uxb;fair_ventas;burzaco_ventas;a_korn_ventas;tucuman_ventas;fair_stock;burzaco_stock;a_korn_stock;tucuman_stock;cdistrib;ventas;stock
475845;ACEITUNA MORANDO NEGRAS DP X180g;15;3.4;0.06;0.73;0.0;5.6;8.53;18.93;0.0;0.0;4.2;33.06
477513;ACEITUNA MORANDO PREM VERDE X200g;24;0.0;0.0;0.0;0.04;0.0;0.0;0.0;0.0;0.0;0.04;0.0
477823;ACEITUNA MORANDO PREM VERDE X200g;24;0.29;0.0;0.0;0.04;2.12;0.0;0.0;0.0;0.0;0.33;2.12
471075;ACEITUNA MORANDO VERDE DP X180g;15;35.93;6.0;16.39;7.0;150.26;7.73;13.66;1.8;108.0;65.33;281.46
471085;ACEITUNA MORANDO VERDE X5kg;1;1.0;0.0;0.0;0.0;0.0;-2.0;2.0;1.0;4.0;1.0;5.0
479996;ACEITUNA NEGRA CLAS NAT x200g MORAND;1;3.0;0.0;0.0;0.0;17.0;0.0;6.0;0.0;0.0;3.0;23.0
474665;ACEITUNA VERDE CLASICA MORANDO x400g;12;0.16;0.0;0.58;0.0;1.16;0.0;0.0;0.0;0.0;0.75;1.16
474663;ACEITUNA VERDE PREMIUN MORANDO x400g;12;0.08;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.58;0.0
474660;ACEITUNA VERDE RELL FCO MORANDO x200;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476372;ACEITUNA VERDES RELL F. VIDRIO x400g;12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
480118;ACEITUNAS C/CAROZO TUCU X5KG;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
476484;ACEITUNAS DESCAROZ SUELTA TUCU;1;0.0;0.0;0.0;4265.0;0.0;0.0;199.0;32.0;0.0;4265.0;231.0
477349;ACEITUNAS DESCAROZADAS TUCU X5KG;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0
474686;ACEITUNAS EL SALTEÑO E/BANDEJA 120G;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13557;ACEITUNAS MORANDO DESC SUELTA;100;0.0;0.0;45.0;0.0;-82.0;0.0;-175.0;0.0;0.0;45.0;-257.0
476374;ACEITUNAS NEGRA 0 NAT/CLAS MORANDO x;24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
471070;ACEITUNAS NEGRA NAT 0 E/AC MORANDO x;6;0.33;0.0;0.0;0.0;1.33;0.0;0.0;0.0;0.0;0.33;1.33
471090;ACEITUNAS NEGRAS 0 NAT E/AC MORANDO;4;0.5;0.25;0.25;0.0;0.0;4.25;0.0;0.0;0.0;1.0;4.25
472265;ACEITUNAS SUELTAS TUCU;1;0.0;0.0;0.0;1265.0;0.0;0.0;0.0;16.0;0.0;1265.0;16.0
462089;ACEITUNAS VDES SACHET MAROLIO 100G;18;0.0;0.0;0.0;0.0;0.0;1.16;0.0;0.0;0.0;0.0;1.16
477515;ACEITUNAS VERD 000 PREMIUM MORANDO x;4;0.5;0.0;0.0;0.0;1.5;0.0;2.5;0.0;1.0;0.5;5.0
475846;ACEITUNAS VERD RELL MORANDO DP x180g;15;0.0;0.66;4.86;0.0;4.06;6.26;8.19;0.0;36.0;5.53;54.53
471072;ACEITUNAS VERDE 0 MORANDO x1kg;6;2.66;1.0;0.16;0.0;1.0;-1.5;2.5;0.0;6.0;3.83;8.0
471087;ACEITUNAS VERDE 0 MORANDO x2kg;4;0.75;0.0;0.0;0.0;0.0;-3.5;3.0;0.0;4.0;0.75;3.5
477824;ACEITUNAS VERDE 000 PREM MORANDO x5k;1;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;0.0;5.0
471084;ACEITUNAS VERDE 3 MORANDO x5kg;1;0.0;0.0;0.0;0.0;0.0;-2.0;1.0;0.0;6.0;0.0;5.0
474659;ACEITUNAS VERDE DESC FSCO MORANDO x1;24;0.54;0.0;0.0;0.0;2.45;0.0;0.0;0.0;0.0;0.54;2.45
476670;ACEITUNAS VERDE DESCAR.MORANDO x350g;12;0.33;0.0;0.16;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0
476376;ACEITUNAS VERDE E/RODAJA MORANDO x16;24;0.12;0.0;0.0;0.0;1.37;0.0;0.0;0.0;0.0;0.12;1.37
475561;ACEITUNAS VERDE PREMIUM 000 MORANDO;6;0.83;0.0;0.0;0.0;0.0;1.0;1.5;0.0;3.0;0.83;5.5
