[110l

[2u[12c  
Emanuel			Server emanuel                                                           (nauxest1 ) Pagina:    1 
                                                                                               Fecha : 24/06/2026
                                                                                               Hora  : 08:51:13
     Estadistica: Ranking de Articulos por Cantidad                  Del 23/06/2026 al 23/06/2026 - Código VT 100 
***************************************************************************************************************************
[¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ DATOS DEL ANALISIS ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡] [¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ PORCENTAJES ¡¡¡¡¡¡¡¡¡¡¡¡¡¡]
       CAMPO            CODIGO            DESCRIPCION              TOTAL         NIVEL    NIV.6  NIV.5  NIV.4  NIV.3  NIV.2
¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡ ¡¡¡¡¡¡
                                                                      51282,31 6  ****** 100,00                            
Sucursal             01          Fair   .                             25573,72 5  *****   49,87 100,00                     
Artículo             000464759   ROLLO DE COCINA AZUL X300PAÑ            49,00 4  ****     0,10   0,19 100,00              
Artículo             000004971   GALL VAINILLAS MAURI 80G                48,00 4  ****     0,09   0,19 100,00              
Artículo             000004253   ALF. BON O BON TRIP CHOC x60            48,00 4  ****     0,09   0,19 100,00              
Artículo             000001807   JABON E/PAN SEISEME 300G                48,00 4  ****     0,09   0,19 100,00              
Artículo             000000216   ALF. JORGITO BCO LECHE x55gr            48,00 4  ****     0,09   0,19 100,00              
Artículo             000478441   PAN LACTAL SABORIARTE x500g             47,00 4  ****     0,09   0,18 100,00              
Artículo             000008035   TOALL.FEM DONCELLA NORMAL C/            47,00 4  ****     0,09   0,18 100,00              
Artículo             000001693   CHOCOLATE HAMLET ALMD/MANI x            47,00 4  ****     0,09   0,18 100,00              
Artículo             000480825   ATUN DESM. EN ACEITE OKEY LA            46,00 4  ****     0,09   0,18 100,00              
Artículo             000003691   YERBA LA CUMBRECITA x500g               46,00 4  ****     0,09   0,18 100,00              
Artículo             000001506   GALL DIVERSION SURTIDAS 400G            46,00 4  ****     0,09   0,18 100,00              
Artículo             000481134   ALFAJOR ORENSE NEGRO x65g NE            45,00 4  ****     0,09   0,18 100,00              
Artículo             000468420   CERVEZA LIGHT LAGER RUBIA LI            45,00 4  ****     0,09   0,18 100,00              
Artículo             000466829   LAVANDINA AYUDIN MAXIMA PURE            45,00 4  ****     0,09   0,18 100,00              
Artículo             000001709   HARINA CASERITA 000 1KG                 45,00 4  ****     0,09   0,18 100,00              
Artículo             000476397   AGUA MINERAL Q2 BIDON x6lt              44,00 4  ****     0,09   0,17 100,00              
Artículo             000007224   CHOCOLATE DOS CORAZONES X UN            44,00 4  ****     0,09   0,17 100,00              
Artículo             000002206   GASEOSA MANAOS x2.25Lt COLA             44,00 4  ****     0,09   0,17 100,00              
Artículo             000475402   FIDEO SOL PAMPEANO x500g RIG            42,00 4  ****     0,08   0,16 100,00              
Artículo             000471266   GALL CHOCOLINAS 100G                    42,00 4  ****     0,08   0,16 100,00              
Artículo             000001117   POLENTA DEL CAMPO INST x500             42,00 4  ****     0,08   0,16 100,00              
Artículo             000479175   ALF. CHOCOTORTA TRIPLE X71,5            41,00 4  ****     0,08   0,16 100,00              
Artículo             000009946   ALF. GENIO NEGRO TRIPLE X60g            41,00 4  ****     0,08   0,16 100,00              
Artículo             000005068   CHIZITOS COLOR CAPULLITOS x8            41,00 4  ****     0,08   0,16 100,00              
Artículo             000000018   ARROZ DOS HERMANOS L.F X500g            41,00 4  ****     0,08   0,16 100,00              
Artículo             000008574   LAVANDINA HEROE 1LT                     40,00 4  ****     0,08   0,16 100,00              
Artículo             000000962   GASEOSA COCA COLA X2.25LT               40,00 4  ****     0,08   0,16 100,00              
Artículo             000480754   DURAZNO ABETO EN TAJADAS x82            39,00 4  ****     0,08   0,15 100,00              
Artículo             000475555   FIDEO LUCCHETTI x500g FORATT            39,00 4  ****     0,08   0,15 100,00              
Artículo             000463697   DCE DE LECHE LA SERENISIMA C            39,00 4  ****     0,08   0,15 100,00              
